date,text
2020-01-26,"Het RIVM twittert dat het mogelijk is dat het virus naar Nederland komt, maar dat de kans klein is dat het <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://twitter.com/rivm/status/1221387068535975937"" rel=""noreferrer noopener nofollow"" target=""_blank"">zich hier verspreidt</a>."
2020-01-27,"Nederland schaalt op naar het <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.nu.nl/binnenland/6026719/nederland-schaalt-op-naar-hoogste-niveau-waakzaamheid-met-coronavirus.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">hoogste niveau van waakzaamheid.</a> Zorgprofessionals krijgen hierdoor een meldingsplicht bij de GGD. Vijf werknemers in Sittard. die op 18 januari uit Wuhan waren teruggekeerd, worden in <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.1limburg.nl/werknemers-sittards-bedrijf-thuis-na-terugkeer-uit-wuhan"" rel=""noreferrer noopener nofollow"" target=""_blank"">quarantaine gezet</a>. "
2020-01-28,"Het RIVM zegt <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://twitter.com/rivm/status/1222166007956918272"" rel=""noreferrer noopener nofollow"" target=""_blank"">op Twitter</a> dat het coronavirus niet makkelijk overdraagbaar is van mens op mens. Er is bezorgdheid in Nederland dat het virus meekomt met bestellingen uit China. Het reisadvies naar China wordt aangescherpt. Ergens in deze periode krijgt een huisarts uit Sint Oedenrode te maken met een patiënt die met koorts uit Wuhan was teruggekomen. De GGD constateerde dat de persoon niet aan de criteria voldoet om getest te worden."
2020-01-29," KLM schrapt vluchten naar China, vanwege gedaalde interesse. Vermoedelijk is de eerste coronabesmetting in <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener nofollow"" target=""_blank"">Nederland een feit</a>. "
2020-01-31,"Het vermoedelijke aantal landelijke <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener nofollow"" target=""_blank"">besmettingen stijgt naar 3</a>. Eerste vermoedelijke besmetting in de regio Eindhoven is geconstateerd."
2020-02-01,"Een vrouw uit Nieuwendijk <a href=""https://myprivacy.dpgmedia.net/?siteKey=V9f6VUvlHxq9wKIN&amp;callbackUrl=https%3a%2f%2fwww.ad.nl%2fprivacy-gate%2faccept%3fredirectUri%3d%252frivierenland%252flea-lag-vier-weken-aan-de-beademing-vanwege-corona-je-wordt-wakker-in-een-wereld-die-compleet-anders-is%257ea5552b51%252f"" rel=""noreferrer noopener"" target=""_blank"">heeft al klachten</a> vanwege het coronavirus. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 5</a>. Eerste vermoedelijke besmetting in de regio’s Limburg-Noord en IJsselland. Het RIVM zegt goed <a href=""https://twitter.com/rivm/status/1223586575050776576"" rel=""noreferrer noopener"" target=""_blank"">voorbereid te zijn</a>."
2020-02-02,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 6</a>. Eerste vermoedelijke besmetting in de regio Zeeland."
2020-02-03,"15 Nederlanders worden geëvacueerd uit Wuhan en komen aan in Eindhoven. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 8</a>. Eerste vermoedelijke besmetting in de regio Tilburg, ’s Hertogenbosch, Oss."
2020-02-04,Het coronavirus is in België. Het is meegekomen met een man die werd geëvacueerd uit Wuhan. Aan boord zaten ook vijftien Nederlanders.
2020-02-05,"RIVM laat weten dat je zonder klachten het virus kunt hebben, maar het dan <a href=""https://twitter.com/rivm/status/1225066099223465990"" rel=""noreferrer noopener"" target=""_blank"">niet kunt verspreiden</a>."
2020-02-06," Nederland zegt goed voorbereid te zijn op een uitbraak van dit virus. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 10</a>. Onderzoek door gerenommeerde Duitse wetenschappers dat de Chinese vrouw die Duitsland bezocht anderen heeft besmet zonder zelf symptomen te hebben, wordt door het <a href=""https://www.nrc.nl/nieuws/2020/06/19/hoe-nederland-reageerde-op-het-nieuwe-virus-uit-china-van-niks-aan-de-hand-tot-blinde-paniek-a4003075"" rel=""noreferrer noopener"" target=""_blank"">RIVM weggewuift</a>. "
2020-02-07,"China vraagt om <a href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener"" target=""_blank"">humanitaire hulp</a> aan o.a. Nederland. Er zijn vooral beschermingsmiddelen nodig. Het vermoedelijke aantal landelijke  <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 12</a>. Een ambtenaar uit Rotterdam meldt aan het ministerie dat er gebrek aan <a href=""https://www.nrc.nl/nieuws/2020/06/19/hoe-nederland-reageerde-op-het-nieuwe-virus-uit-china-van-niks-aan-de-hand-tot-blinde-paniek-a4003075"" rel=""noreferrer noopener"" target=""_blank"">zorgmiddelen dreigt</a>. "
2020-02-09,Vier Nederlanders uit Wuhan komen terug in Nederland en landen in Eindhoven. 
2020-02-10,"Een vliegtuig met 100.000 overalls, miljoenen mondkapjes en meer dan tien beademingsapparaten <a href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener"" target=""_blank"">gaat naar China</a>. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 16</a>. Eerste vermoedelijke besmetting in de regio’s Purmerend en Haaglanden."
2020-02-11,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 18</a>. Eerste vermoedelijke besmetting in de regio’s Alkmaar en Hilversum."
2020-02-12,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 21</a>. Eerste vermoedelijke besmetting in Friesland. "
2020-02-13,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 22</a>."
2020-02-14,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 25</a>. Eerste vermoedelijke besmetting in Drenthe. Aura Timen, hoofd Centrum Landelijke Coördinatie Infectieziektebestrijding bij het RIVM, legt in een filmpje uit waarom we ons geen zorgen hoeven te maken over het COVID-19. Deze opname is later verwijderd. Terwijl minister Bruins meldt dat het inkopen van mondkapjes door de Overheid <a href=""https://www.nrc.nl/nieuws/2020/06/19/hoe-nederland-reageerde-op-het-nieuwe-virus-uit-china-van-niks-aan-de-hand-tot-blinde-paniek-a4003075"" rel=""noreferrer noopener"" target=""_blank"">niet nodig</a> is, heeft de Nationale politie voldoende voorraad ingeslagen. "
2020-02-15,"Het coronavirus is aanwezig in Noord-Brabant, blijkt uit een analyse van het RIVM dat op 23 april in het <a href=""https://myprivacy.dpgmedia.net/?siteKey=V9f6VUvlHxq9wKIN&amp;callbackUrl=https%3a%2f%2fwww.ad.nl%2fprivacy-gate%2faccept%3fredirectUri%3d%252fbinnenland%252fhet-coronavirus-was-al-veel-langer-in-nederland%257eaf840f5b%252f"" rel=""noreferrer noopener"" target=""_blank"">AD wordt gepubliceerd</a>. Passagiers van het cruiseschip Westerdam komen aan in Nederland. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 27</a>. Eerste vermoedelijke besmetting in Flevoland."
2020-02-16," Passagiers van een besmet cruiseschip komen aan in Nederland. Quarantaine is niet nodig, stelt de GGD. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 30</a>. Eerste vermoedelijke besmetting in de regio West-Brabant."
2020-02-17,"Het RIVM denkt dat het allemaal meevalt. Het is een niet meer dan een <a href=""https://www.rtlnieuws.nl/nieuws/nederland/artikel/5116111/coronacrisis-reconstructie-kabinet-rivm"" rel=""noreferrer noopener"" target=""_blank"">seizoensgriepje</a>. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 33</a>. Eerste vermoedelijke besmetting in de regio Utrecht."
2020-02-18,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 34</a>."
2020-02-19," In Noord-Brabant is minimaal een besmet persoon. Dit blijkt uit <a href=""https://myprivacy.dpgmedia.net/?siteKey=E3yigTloQoEgt0sZ&amp;callbackUrl=https%3a%2f%2fwww.bd.nl%2fprivacy-gate%2faccept%3fredirectUri%3d%252fbrabant%252fal-voor-carnaval-hadden-eerste-mensen-in-brabant-symptomen-van-coronavirus%257ea5efc086%252f"" rel=""noreferrer noopener"" target=""_blank"">onderzoek dat op 28 maart</a> wordt gepubliceerd. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 39</a>. Eerste vermoedelijke besmetting in de regio Zuid-Limburg. "
2020-02-20,"Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 48</a>. Eerste vermoedelijke besmetting in de regio’s Haarlem en Gelderland-Midden."
2020-02-21,"Er is buiten China een haard in Zuid-Korea, Italië en Iran. De vrouw uit Nieuwendijk (49) is opgenomen in het ziekenhuis in Gorinchem. Het ziekenhuis denkt aan corona, maar mag volgens de richtlijnen van het RIVM <a href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener"" target=""_blank"">niet worden getest</a>. Een man uit Loon op Zand komt besmet terug in Nederland uit Italië. Het reproductiegetal is ongeveer 1,6. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 57</a>. Eerste vermoedelijke besmetting in de regio Zuid-Holland Zuid. Het RIVM zegt dat niemand <a href=""https://twitter.com/rivm/status/1230859856422330369"" rel=""noreferrer noopener"" target=""_blank"">zich zorgen hoeft te maken</a>. Bijzonder hoogleraar infectieziektenbestrijding aan de Vrije Universiteit in AmsterdamAura Timen lid van het OMT zegt tijdens een symposium dat het <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.nrc.nl/nieuws/2020/07/05/een-lockdown-zat-nooit-in-ons-arsenaal-a4005060"" rel=""noreferrer noopener nofollow"" target=""_blank"">allemaal wel meevalt</a>."
2020-02-22,"Het is duidelijk dat het een <a href=""https://youtu.be/VasccCzr2TY"" label=""pandemie wordt (opens in a new tab)"" rel=""noreferrer noopener"" target=""_blank"">pandemie wordt</a>. Italië en Iran hebben het niet meer in de hand. Overal om ons heen in de buurlanden is het virus aangetoond. Minister Blok is in Iran geweest. Hij heeft een hoge official omhelsd en de hand geschud. Deze official wordt later <a aria-label=""positief getest (opens in a new tab)"" href=""https://twitter.com/nausicaamarbe/status/1231318148386820096"" rel=""noreferrer noopener"" target=""_blank"">positief getest</a>. Later zal Blok ontkennen met de official in aanraking te zijn geweest. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 61</a>. Eerste vermoedelijke besmetting in de regio Rotterdam."
2020-02-23," Het is Carnaval. De verspreiding van het virus kan nu vol <a href=""https://www.rtlnieuws.nl/nieuws/nederland/artikel/5116111/coronacrisis-reconstructie-kabinet-rivm"" rel=""noreferrer noopener"" target=""_blank"">zijn gang gaan</a>. Volgens de burgemeester van ’s Hertogenbosch was corona tijdens de optocht <a href=""https://youtu.be/kBCMdwP6-jg?t=139"" rel=""noreferrer noopener nofollow"" target=""_blank"">iets lachwekkends</a>. In het Duitse Gangelt raken <a href=""https://www.volkskrant.nl/nieuws-achtergrond/duits-dorp-bij-sittard-blijkt-aan-coronaramp-ontsnapt~beb6fcd8/"" rel=""noreferrer noopener"" target=""_blank"">2000 personen besmet</a> door het coronavirus. Een vrouw uit Diemen komt besmet terug uit Noord-Italië en landt op Schiphol. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 71</a>. 20 daarvan zijn er in Noord Brabant. Eerste vermoedelijke besmetting in de regio Hollands-Midden."
2020-02-24,"Minister Blok meldt zich ziek. <a href=""https://myprivacy.dpgmedia.net/?siteKey=V9f6VUvlHxq9wKIN&amp;callbackUrl=https%3a%2f%2fwww.ad.nl%2fprivacy-gate%2faccept%3fredirectUri%3d%252fbinnenland%252fkamerdebat-gestaakt-wegens-opkomende-griep-minister-blok%257eafa83aaf%252f"" rel=""noreferrer noopener"" target=""_blank"">Hij zou griep hebben</a>.  Coolblue maakt bekend dat ze de marketing op een laag pitje zet en de prijzen <a aria-label=""heeft verhoogd (opens in a new tab)"" href=""https://www.nu.nl/economie/6033083/coolblue-past-prijzen-aan-door-voorraadproblemen-vanwege-coronavirus.html"" rel=""noreferrer noopener"" target=""_blank"">heeft verhoogd</a>. Dit in verband met mogelijke leveranciersproblemen. Het RIVM snapt nog niet dat het coronavirus niet in Nederland is voorgekomen. <a aria-label=""Scholen in Drenthe (opens in a new tab)"" href=""https://www.rtlnieuws.nl/nieuws/artikel/5032886/corona-covid-virus-besmetting-italie-vakantie-ziek-slachtoffer-school"" rel=""noreferrer noopener"" target=""_blank"">Scholen in Drenthe</a> roepen op de kinderen na de vakantie op het coronavirus te laten controleren. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 94</a>. Eerste vermoedelijke besmetting in Groningen. Het RIVM zegt dat er <a href=""https://twitter.com/rivm/status/1231871366217027584"" rel=""noreferrer noopener"" target=""_blank"">voldoende IC-capaciteit</a> in Nederland is. Ziekenhuizen worden gevraagd alle patiënten met onbegrepen <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.nrc.nl/nieuws/2020/07/05/een-lockdown-zat-nooit-in-ons-arsenaal-a4005060"" rel=""noreferrer noopener"" target=""_blank"">longontsteking te testen</a>. "
2020-02-25,"In Duitsland wordt een man <a href=""https://www.nu.nl/coronavirus/6033344/ggd-doet-onderzoek-in-limburg-vanwege-coronabesmetting-net-over-de-grens.html"">positief getest</a>. Het gebied zal later de hotspot van Duitsland worden. Vanaf deze dag worden ook mensen getest die uit Italië komen. Het vermoedelijke aantal landelijke  <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 118</a>. Eerste vermoedelijke besmetting in de regio Noord en Oost-Gelderland. Het RIVM zegt dat het virus een beetje op een <a href=""https://twitter.com/rivm/status/1232208974096879616"" rel=""noreferrer noopener"" target=""_blank"">gewone griep lijkt</a>."
2020-02-26,"Minister Bruins sluit drastische maatregelen niet uit, zoals het afsluiten van een wijk of een dorp. Een man meldt zich in Tilburg met  griepachtige klachten bij de spoedeisende hulp. Hij was in Italië geweest. Volgens de richtlijnen van het RIVM hoeft hij <a href=""https://nos.nl/artikel/2345563-zes-maanden-na-briefje-van-bruins-ik-vroeg-of-het-ministerie-een-dag-kon-wachten.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">niet getest te worden</a>, het ziekenhuis doet dit toch. Een vrouw uit Diemen die in Italië is geweest, krijgt <a href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener"" target=""_blank"">klachten</a>. Minister-president Rutte tuigt een crisisorganisatie op. Het eerste overleg wordt gevoerd. De besmette Duitser blijkt in Noord- en Midden-Limburg te zijn geweest. ,,Hij was niet ziek en dus niet besmettelijk” stelt het RIVM. Hij heeft wel zijn vrouw aangestoken. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 152</a>. Het ministerie van Volksgezondheid en het RIVM denken dat het coronavirus minder <a href=""https://www.rtlnieuws.nl/nieuws/nederland/artikel/5200858/corona-vws-groepsimmuniteit"" rel=""noreferrer noopener nofollow"" target=""_blank"">gevaarlijk is dan griep</a>."
2020-02-27," De NOS maakt een live-uitzending met feiten en fabels over het SARS-CoV-2-virus. Tijdens de uitzending meldt minister Bruins dat het eerste geval <a href=""https://www.nu.nl/coronavirus/6033176/eerste-persoon-in-nederland-besmet-met-coronavirus.html"" label=""in Nederland een feit is (opens in a new tab)"" rel=""noreferrer noopener"" target=""_blank"">in Nederland er is</a>. Het betreft de man die zich een dag eerder in het ziekenhuis had gemeld. De burgemeester van Tilburg had liever het nieuws <a href=""https://nos.nl/artikel/2345563-zes-maanden-na-briefje-van-bruins-ik-vroeg-of-het-ministerie-een-dag-kon-wachten.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">later naar buiten gebracht</a>. Twee maanden later blijkt dat op deze dag al de <a href=""https://nos.nl/artikel/2331675-huisartsen-melden-764-overleden-coronapatienten-buiten-ziekenhuis.html"" rel=""noreferrer noopener"" target=""_blank"">eerste coronadode</a> in Nederland viel. Het reproductiegetal is ongeveer 2,0. Het vermoedelijke aantal landelijke <a href=""https://www.rtlnieuws.nl/nieuws/artikel/5140371/corona-cijfers-besmettingen-uitbraak-nederland-eerste-officiele"" rel=""noreferrer noopener"" target=""_blank"">besmettingen stijgt naar 213</a>. Volgens het Imperial College London zijn op deze dag al drie- tot negenduizend <a href=""https://www.nrc.nl/nieuws/2020/06/19/hoe-nederland-reageerde-op-het-nieuwe-virus-uit-china-van-niks-aan-de-hand-tot-blinde-paniek-a4003075"" rel=""noreferrer noopener"" target=""_blank"">besmettingen in Nederland</a>."
2020-02-28,"Het tweede geval in Nederland duikt op in Diemen. Ze werkt in het AMC in Amsterdam en was getest door een <a href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener"" target=""_blank"">viroloog in hetzelfde ziekenhuis</a> die zich niet aan de richtlijnen van RIVM hield. De patiënt in Gorinchem wordt naar Rotterdam overgeplaatst. Daar wordt wel een coronatest uitgevoerd met een positieve uitslag. Het Outbreak Management Team komt met een <a href=""https://www.rtlnieuws.nl/nieuws/nederland/artikel/5116111/coronacrisis-reconstructie-kabinet-rivm"" rel=""noreferrer noopener"" target=""_blank"">tweede advies</a> dat vier dagen later wordt besproken. Containment is  achterhaald, artsen moeten zich voorbereiden op triage en er gebrek aan van alles. Volgens directeur van Dissel van het RIVM is carnaval niet zo’n probleem. ,,Carnaval vier je met familie en in kleine groepen.” "
2020-02-29," Ziekenhuizen die niet van het RIVM afhankelijk zijn voor hun coronatesten, vinden in deze dagen steeds meer patiënten die niet binnen de RIVM-definitie vallen. Het aantal gevallen in Nederland is gestegen naar 7. Verzekeraars <a href=""https://nos.nl/artikel/2331872-festivals-in-2021-ook-in-gevaar-staat-moet-desnoods-garant-staan.html"" rel=""noreferrer noopener"" target=""_blank"">verwijderen de dekking</a> van een pandemie uit hun pakketten. Intern bij de Rijksoverheid wordt deze dagen besloten om mondkapjes voor niet-hulpverleners <a href=""https://www.rtlnieuws.nl/nieuws/nederland/artikel/5200858/corona-vws-groepsimmuniteit"" rel=""noreferrer noopener nofollow"" target=""_blank"">af te raden</a>, omdat er een gebrek is. De RIVM zal dit tot half augustus deze reden blijven ontkennen."
2020-03-01," Persconferentie van het RIVM met de minister. Het ziekenhuis in Gorinchem moet nu zelf in <a aria-label=""quarantaine (opens in a new tab)"" href=""https://www.rtvutrecht.nl/nieuws/2024804/"" rel=""noreferrer noopener"" target=""_blank"">quarantaine</a>."
2020-03-02," Het RIVM komt voortaan één keer per dag met een update. GGD Limburg is gestopt met contactonderzoek. Er is een nieuwe fase ontstaan en het virus kan nu doorwoekeren. Er gaat een lijst op internet rond met 76 gevallen in Nederland die de eerste keer positief zijn getest. Het RIVM neemt afstand van deze lijst. Een ziekenhuis in Breda gaat alle patiënten en personeel met griepklachten testen, buiten de richtlijnen van het RIVM om. In Kaatsheuvel wordt gestart met <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.omroepbrabant.nl/nieuws/3236910/gratis-covid-test-bij-ieder-toiletbezoek-rioolwater-zegt-veel-over-het-coronavirus"" rel=""noreferrer noopener nofollow"" target=""_blank"">onderzoek naar het rioolwater</a>."
